epoch,accuracy,loss,val_accuracy,val_loss
0,0.9132708311080933,0.3095555603504181,0.9625833630561829,0.14175954461097717
1,0.9692083597183228,0.10982939600944519,0.9736666679382324,0.09191204607486725
2,0.9784791469573975,0.07589579373598099,0.9760833382606506,0.0775497630238533
3,0.9819375276565552,0.06129547953605652,0.9776666760444641,0.07348524034023285
4,0.9845208525657654,0.052768006920814514,0.9817500114440918,0.06335863471031189
5,0.9868333339691162,0.04518064484000206,0.9752500057220459,0.07642334699630737
6,0.9882083535194397,0.040493547916412354,0.9785000085830688,0.07045689225196838
7,0.9891250133514404,0.0358089879155159,0.9802500009536743,0.06290876120328903
8,0.9902916550636292,0.032090671360492706,0.981416642665863,0.06414945423603058
9,0.9917500019073486,0.028798090294003487,0.9821666479110718,0.060578733682632446
10,0.9926458597183228,0.0257387924939394,0.9822499752044678,0.0639355480670929
11,0.9932291507720947,0.02336299605667591,0.9819999933242798,0.0622832216322422
12,0.9941874742507935,0.020588357001543045,0.9823333621025085,0.06756510585546494
